Step:50,CE loss:9.791229128837585,Soft loss:6.413818621635437
Step:100,CE loss:6.342406635284424,Soft loss:2.122560068368912
Step:150,CE loss:5.722750396728515,Soft loss:1.5167560029029845
Step:200,CE loss:5.432901639938354,Soft loss:1.3381448459625245
Step:250,CE loss:5.224860620498657,Soft loss:1.2221282136440277
Step:300,CE loss:5.053594026565552,Soft loss:1.127453525662422
Step:350,CE loss:4.880996508598328,Soft loss:1.081171865463257
Step:400,CE loss:4.798943562507629,Soft loss:1.0040806674957274
Step:450,CE loss:4.680365853309631,Soft loss:0.9413010865449906
Step:500,CE loss:4.620010237693787,Soft loss:0.8963931840658188
Step:550,CE loss:4.546106505393982,Soft loss:0.8659767830371856
Step:600,CE loss:4.494530806541443,Soft loss:0.8218770015239716
Step:650,CE loss:4.436432046890259,Soft loss:0.8367247307300567
Step:700,CE loss:4.413067030906677,Soft loss:0.7829434639215469
Step:750,CE loss:4.381158390045166,Soft loss:0.7698952662944794
Step:800,CE loss:4.365794086456299,Soft loss:0.7475320553779602
Step:850,CE loss:4.31626754283905,Soft loss:0.7169394141435623
Step:900,CE loss:4.285485153198242,Soft loss:0.6945184224843979
Step:950,CE loss:4.26440328836441,Soft loss:0.6814313238859177
Step:1000,CE loss:4.248505501747132,Soft loss:0.6913549047708512
Step:1050,CE loss:4.246851720809937,Soft loss:0.6728182655572891
Step:1100,CE loss:4.2184262013435365,Soft loss:0.6683984071016311
Step:1150,CE loss:4.215480864048004,Soft loss:0.643725511431694
Step:1200,CE loss:4.22056307554245,Soft loss:0.6383841973543167
Step:1250,CE loss:4.1833997511863705,Soft loss:0.634185243844986
Step:1300,CE loss:4.168717422485352,Soft loss:0.6236347091197968
Step:1350,CE loss:4.160550808906555,Soft loss:0.6277791994810105
Step:1400,CE loss:4.165546772480011,Soft loss:0.6038197553157807
Step:1450,CE loss:4.134941761493683,Soft loss:0.5938286596536636
Step:1500,CE loss:4.109403767585754,Soft loss:0.5907010126113892
Step:1550,CE loss:4.134691929817199,Soft loss:0.5770300287008285
Step:1600,CE loss:4.123218247890472,Soft loss:0.577755965590477
Step:1650,CE loss:4.105717234611511,Soft loss:0.5765102171897888
Step:1700,CE loss:4.084429423809052,Soft loss:0.5704687482118607
Step:1750,CE loss:4.074460554122925,Soft loss:0.5685516309738159
Step:1800,CE loss:4.099502985477447,Soft loss:0.5544168666005135
Step:1850,CE loss:4.098767402172089,Soft loss:0.5625725740194321
Step:1900,CE loss:4.071793332099914,Soft loss:0.5482077372074127
Step:1950,CE loss:4.082508821487426,Soft loss:0.5552618107199669
Step:2000,CE loss:4.04861008644104,Soft loss:0.5432057273387909
Step:2050,CE loss:4.055840005874634,Soft loss:0.5340331667661666
Step:2100,CE loss:4.051935300827027,Soft loss:0.5372353291511536
Step:2150,CE loss:4.044838111400605,Soft loss:0.5320083951950073
Step:2200,CE loss:4.0320274543762205,Soft loss:0.5242143163084984
Step:2250,CE loss:4.0610446763038635,Soft loss:0.5322503048181534
Step:2300,CE loss:4.026941599845887,Soft loss:0.5285939657688141
Step:2350,CE loss:4.044031209945679,Soft loss:0.5357849144935608
Step:2400,CE loss:4.028710629940033,Soft loss:0.5176082047820091
Step:2450,CE loss:4.031896989345551,Soft loss:0.5153469142317771
Step:2500,CE loss:4.014980006217956,Soft loss:0.5151949128508568
Step:2550,CE loss:4.016378936767578,Soft loss:0.512437399327755
Step:2600,CE loss:3.99896075963974,Soft loss:0.5043659451603889
Step:2650,CE loss:4.006655342578888,Soft loss:0.5176343801617622
Step:2700,CE loss:4.004828667640686,Soft loss:0.5034743455052376
Step:2750,CE loss:4.001168255805969,Soft loss:0.5050603532791138
Step:2800,CE loss:3.990322840213776,Soft loss:0.5033489125967026
Step:2850,CE loss:4.002592360973358,Soft loss:0.49801686584949495
Step:2900,CE loss:4.011079249382019,Soft loss:0.49532151997089385
Step:2950,CE loss:3.9999809885025024,Soft loss:0.48969930827617647
Step:3000,CE loss:3.9911819529533386,Soft loss:0.4917182511091232
Step:3050,CE loss:3.9516491413116457,Soft loss:0.485866422355175
Step:3100,CE loss:3.9762401747703553,Soft loss:0.48290974766016004
Step:3150,CE loss:3.972343261241913,Soft loss:0.48966204285621645
Step:3200,CE loss:3.96984628200531,Soft loss:0.49917529612779615
Step:3250,CE loss:3.973288769721985,Soft loss:0.48671349078416826
Step:3300,CE loss:3.9739000511169436,Soft loss:0.4948910704255104
Step:3350,CE loss:3.952062654495239,Soft loss:0.4784172827005386
Step:3400,CE loss:3.958892197608948,Soft loss:0.4823485043644905
Step:3450,CE loss:3.9583706998825074,Soft loss:0.4713552060723305
Step:3500,CE loss:3.9366774487495424,Soft loss:0.4793095302581787
Step:3550,CE loss:3.94577472448349,Soft loss:0.4754254052042961
Step:3600,CE loss:3.9689068365097047,Soft loss:0.47597129464149474
Step:3650,CE loss:3.925637946128845,Soft loss:0.46868617355823516
Step:3700,CE loss:3.930888910293579,Soft loss:0.46646137356758116
Step:3750,CE loss:3.9498515510559082,Soft loss:0.46552276581525803
Step:3800,CE loss:3.9222658467292786,Soft loss:0.4653744822740555
Step:3850,CE loss:3.9355471611022947,Soft loss:0.46631812989711763
Step:3900,CE loss:3.9358960962295533,Soft loss:0.4689856064319611
Step:3950,CE loss:3.9399586510658264,Soft loss:0.4608644431829452
Step:4000,CE loss:3.915322930812836,Soft loss:0.46081334322690964
Step:4050,CE loss:3.9080367040634156,Soft loss:0.46135830372571945
Step:4100,CE loss:3.9263596177101134,Soft loss:0.4574616879224777
Step:4150,CE loss:3.9164102125167846,Soft loss:0.4588980209827423
Step:4200,CE loss:3.9111956119537354,Soft loss:0.45313902765512465
Step:4250,CE loss:3.8986865377426145,Soft loss:0.456242493391037
Step:4300,CE loss:3.8841997027397155,Soft loss:0.4553340694308281
Step:4350,CE loss:3.9043361282348634,Soft loss:0.4548326516151428
Step:4400,CE loss:3.928685312271118,Soft loss:0.45132961302995683
Step:4450,CE loss:3.9068448758125305,Soft loss:0.44518996924161913
Step:4500,CE loss:3.922495560646057,Soft loss:0.4407618486881256
Step:4550,CE loss:3.9240955233573915,Soft loss:0.4457813385128975
Step:4600,CE loss:3.9053599524497984,Soft loss:0.44556155413389203
Step:4650,CE loss:3.899177439212799,Soft loss:0.4452528774738312
Step:4700,CE loss:3.9060516119003297,Soft loss:0.4439362210035324
Step:4750,CE loss:3.923801667690277,Soft loss:0.4333645269274712
Step:4800,CE loss:3.905853500366211,Soft loss:0.4449429640173912
Step:4850,CE loss:3.8975624442100525,Soft loss:0.440432668030262
Step:4900,CE loss:3.8981509709358217,Soft loss:0.4417770329117775
Step:4950,CE loss:3.891168701648712,Soft loss:0.45015640437603
Step:5000,CE loss:3.885173704624176,Soft loss:0.43213688373565673
Step:5050,CE loss:3.8899281358718873,Soft loss:0.43364730298519133
Step:5100,CE loss:3.903960485458374,Soft loss:0.4408758732676506
Step:5150,CE loss:3.9140677285194396,Soft loss:0.42897673428058625
Step:5200,CE loss:3.911225302219391,Soft loss:0.4324437081813812
Step:5250,CE loss:3.884165506362915,Soft loss:0.42872126400470734
Step:5300,CE loss:3.8876420974731447,Soft loss:0.4274290233850479
Step:5350,CE loss:3.887733359336853,Soft loss:0.43389200150966645
Step:5400,CE loss:3.8714467668533326,Soft loss:0.43432403206825254
Step:5450,CE loss:3.8954486536979673,Soft loss:0.4271209043264389
Step:5500,CE loss:3.8994712591171266,Soft loss:0.4331339544057846
Step:5550,CE loss:3.875359950065613,Soft loss:0.4271421805024147
Step:5600,CE loss:3.8745942950248717,Soft loss:0.42660039305686953
Step:5650,CE loss:3.8640942215919494,Soft loss:0.4376781451702118
Step:5700,CE loss:3.876991696357727,Soft loss:0.42157308787107467
Step:5750,CE loss:3.8609381985664366,Soft loss:0.4304799363017082
Step:5800,CE loss:3.885514714717865,Soft loss:0.42339658707380295
Step:5850,CE loss:3.8563101649284364,Soft loss:0.43192385375499726
Step:5900,CE loss:3.889088158607483,Soft loss:0.43010627299547194
Step:5950,CE loss:3.856404802799225,Soft loss:0.4252387481927872
Step:6000,CE loss:3.8652761578559875,Soft loss:0.4304615992307663
Step:6050,CE loss:3.8735471391677856,Soft loss:0.42034570693969725
Step:6100,CE loss:3.8766434931755067,Soft loss:0.4163798809051514
Step:6150,CE loss:3.871033251285553,Soft loss:0.4269871157407761
Step:6200,CE loss:3.862336096763611,Soft loss:0.42013478636741636
Step:6250,CE loss:3.8642150568962097,Soft loss:0.4192823541164398
Step:6300,CE loss:3.86984804391861,Soft loss:0.4227766129374504
Step:6350,CE loss:3.8590204334259033,Soft loss:0.42213769048452376
Step:6400,CE loss:3.868388934135437,Soft loss:0.4219846072793007
Step:6450,CE loss:3.8620395421981812,Soft loss:0.4168234685063362
Step:6500,CE loss:3.8539527654647827,Soft loss:0.4257394000887871
Step:6550,CE loss:3.8714987301826476,Soft loss:0.4226080718636513
Step:6600,CE loss:3.8587763261795045,Soft loss:0.4051766061782837
Step:6650,CE loss:3.8558846712112427,Soft loss:0.41590409994125366
Step:6700,CE loss:3.8500440883636475,Soft loss:0.41158776104450223
Step:6750,CE loss:3.8518837213516237,Soft loss:0.41883201509714124
Step:6800,CE loss:3.8446057438850403,Soft loss:0.4129152637720108
Step:6850,CE loss:3.841512019634247,Soft loss:0.4172677680850029
Step:6900,CE loss:3.8695240116119383,Soft loss:0.41119609981775285
Step:6950,CE loss:3.8556966519355775,Soft loss:0.4048185592889786
Step:7000,CE loss:3.8462160181999208,Soft loss:0.4107784578204155
Step:7050,CE loss:3.8416975474357606,Soft loss:0.41249839305877684
Step:7100,CE loss:3.85690633058548,Soft loss:0.4068032932281494
Step:7150,CE loss:3.8482752418518067,Soft loss:0.40876164972782136
Step:7200,CE loss:3.8578572416305543,Soft loss:0.40293069154024125
Step:7250,CE loss:3.8485023593902588,Soft loss:0.4093242961168289
Step:7300,CE loss:3.8261150598526,Soft loss:0.4065486362576485
Step:7350,CE loss:3.831699402332306,Soft loss:0.41295229256153104
Step:7400,CE loss:3.8507218885421755,Soft loss:0.4091182091832161
Step:7450,CE loss:3.8556639313697816,Soft loss:0.4043322691321373
Step:7500,CE loss:3.8352372527122496,Soft loss:0.40256498754024506
Step:7550,CE loss:3.8348671865463255,Soft loss:0.40343691915273666
Step:7600,CE loss:3.847654309272766,Soft loss:0.4024947848916054
Step:7650,CE loss:3.8387016654014587,Soft loss:0.4021569874882698
Step:7700,CE loss:3.8507284283638,Soft loss:0.4044248577952385
Step:7750,CE loss:3.8628637552261353,Soft loss:0.4004146212339401
Step:7800,CE loss:3.8096879148483276,Soft loss:0.3970866891741753
Step:7850,CE loss:3.8331548523902894,Soft loss:0.3994312661886215
Step:7900,CE loss:3.835342535972595,Soft loss:0.3988513162732124
Step:7950,CE loss:3.8355178666114806,Soft loss:0.3967827355861664
Step:8000,CE loss:3.8480592274665835,Soft loss:0.39372372478246687
Step:8050,CE loss:3.8530226945877075,Soft loss:0.3986819899082184
Step:8100,CE loss:3.8335553979873658,Soft loss:0.40248644292354585
